lr,data_time,loss,loss_kpt,acc_pose,time,epoch,memory,step
4e-08,7.455921411514282,0.4219166040420532,0.4219166040420532,0.005952380952380952,9.673461437225342,1.0,1592.0,1.0
0.0002105642105263158,5.239226341247559,0.4222961515188217,0.4222961515188217,0.004464285714285714,6.491496443748474,1.0,1653.0,2.0
0.00042108842105263163,5.160558700561523,0.42229671279589337,0.42229671279589337,0.010416666666666666,6.110599199930827,1.0,1653.0,3.0
0.0006316126315789475,5.037064731121063,0.42163054645061493,0.42163054645061493,0.013392857142857142,5.821730315685272,1.0,1653.0,4.0
0.0008421368421052633,4.963356590270996,0.41921748518943786,0.41921748518943786,0.08630952380952381,5.657194948196411,1.0,1653.0,5.0
0.001052661052631579,4.278797030448914,0.3648092473546664,0.3648092473546664,0.16071428571428573,4.867495656013489,1.0,593.0,6.0
0.0012631852631578948,4.4011267593928745,0.37640249942030224,0.37640249942030224,0.19791666666666666,4.9588682651519775,2.0,1653.0,7.0
0.0014737094736842105,4.387379676103592,0.37530080042779446,0.37530080042779446,0.12946428571428573,4.910028427839279,2.0,1653.0,8.0
0.0016842336842105262,4.4235756397247314,0.37399015327294666,0.37399015327294666,0.14885752688172044,4.920041137271458,2.0,1653.0,9.0
0.0018947578947368419,4.4410277843475345,0.3722300067543983,0.3722300067543983,0.16964285714285715,4.927746820449829,2.0,1653.0,10.0
0.0021052821052631576,4.472306511618874,0.3686496845700524,0.3686496845700524,0.18481182795698925,4.9531419060447,2.0,1653.0,11.0
0.0023158063157894732,4.168280998865764,0.3448604078342517,0.3448604078342517,0.16666666666666666,4.6132967074712115,2.0,593.0,12.0
0.002526330526315789,4.250492792863112,0.3453797268179747,0.3453797268179747,0.1800595238095238,4.6860093887035665,3.0,1653.0,13.0
0.0027368547368421046,4.2957102571214945,0.34474294792328564,0.34474294792328564,0.21606182795698925,4.719588841710772,3.0,1653.0,14.0
0.0029473789473684203,4.3184313933054606,0.34554046044747033,0.34554046044747033,0.17607526881720428,4.740087159474691,3.0,1653.0,15.0
0.003157903157894736,4.3333756029605865,0.34623359562829137,0.34623359562829137,0.17261904761904762,4.753275945782661,3.0,1653.0,16.0
0.0033684273684210517,4.34897310593549,0.3446245986749144,0.3446245986749144,0.22023809523809523,4.767854620428646,3.0,1653.0,17.0
0.0035789515789473674,4.155446185006036,0.3305755878488223,0.3305755878488223,0.21428571428571427,4.553834305869208,3.0,593.0,18.0
0.0037894757894736835,4.173902699821873,0.3308680975123456,0.3308680975123456,0.2070852534562212,4.572638825366371,4.0,1653.0,19.0
0.003999999999999999,4.192860245704651,0.3327306486666203,0.3327306486666203,0.14583333333333334,4.583759510517121,4.0,1653.0,20.0
0.003999999999999999,4.209398712430682,0.3362200522706622,0.3362200522706622,0.15625,4.595253251847767,4.0,1653.0,21.0
0.003999999999999999,4.237885171716863,0.3386492058634758,0.3386492058634758,0.18918010752688172,4.621519023721868,4.0,1653.0,22.0
0.003999999999999999,4.260459277940833,0.3428699199272239,0.3428699199272239,0.19791666666666666,4.645239467206209,4.0,1653.0,23.0
0.003999999999999999,4.122023731470108,0.33264888171106577,0.33264888171106577,0.125,4.492896397908528,4.0,593.0,24.0
0.003999999999999999,4.143142604827881,0.3328160807490349,0.3328160807490349,0.22321428571428573,4.515540351867676,5.0,1653.0,25.0
0.003999999999999999,4.166713879658626,0.335235933558299,0.335235933558299,0.18303571428571427,4.5415963026193475,5.0,1653.0,26.0
0.003999999999999999,4.192983565507112,0.3363826713628239,0.3363826713628239,0.20866935483870966,4.564870339852792,5.0,1653.0,27.0
0.003999999999999999,4.204519706112998,0.3358185182192496,0.3358185182192496,0.21577380952380953,4.573517680168152,5.0,1653.0,28.0
0.003999999999999999,4.229398160145201,0.3348703731236787,0.3348703731236787,0.20982142857142858,4.594913466223355,5.0,1653.0,29.0
0.003999999999999999,4.122651505470276,0.32653247689207393,0.32653247689207393,0.14285714285714285,4.477349638938904,5.0,593.0,30.0
0.003999999999999999,4.149630315842167,0.3257699577558425,0.3257699577558425,0.25297619047619047,4.5056607492508425,6.0,1653.0,31.0
0.003999999999999999,4.160704240202904,0.3247356766369194,0.3247356766369194,0.23511904761904762,4.514171227812767,6.0,1653.0,32.0
0.003999999999999999,4.186137293324326,0.3234782695318713,0.3234782695318713,0.2580645161290323,4.5412264809463965,6.0,1653.0,33.0
0.003999999999999999,4.199662538135753,0.32264716901323376,0.32264716901323376,0.26339285714285715,4.554102042142083,6.0,1653.0,34.0
0.003999999999999999,4.213757760184151,0.3215827054211072,0.3215827054211072,0.25297619047619047,4.568156147003174,6.0,1653.0,35.0
0.003999999999999999,4.12334778573778,0.3147507657607396,0.3147507657607396,0.21428571428571427,4.469068427880605,6.0,593.0,36.0
0.003999999999999999,4.14117608843623,0.31392672899607066,0.31392672899607066,0.2663690476190476,4.487120486594535,7.0,1653.0,37.0
0.003999999999999999,4.1517239809036255,0.312909534102992,0.312909534102992,0.24702380952380953,4.495590887571636,7.0,1653.0,38.0
0.003999999999999999,4.162218124438555,0.3120409334317232,0.3120409334317232,0.24553571428571427,4.504447417381482,7.0,1653.0,39.0
0.003999999999999999,4.184187543392182,0.31070160642266276,0.31070160642266276,0.2745775729646697,4.526686096191407,7.0,1653.0,40.0
0.003999999999999999,4.193329206327113,0.3100820045645644,0.3100820045645644,0.22222222222222218,4.5370107336742125,7.0,1653.0,41.0
0.003999999999999999,4.113797522726513,0.3044505940661544,0.3044505940661544,0.2619047619047619,4.45029616355896,7.0,593.0,42.0
