lr,data_time,loss,loss_cls,loss_bbox,time,epoch,iter,memory,step
4e-08,10.44277811050415,0.24347907304763794,0.14386700093746185,0.09961207956075668,13.471155881881714,1.0,1.0,5122.0,1.0
4.043963963963964e-06,5.224388957023621,0.20807698369026184,0.14416993409395218,0.06390705145895481,6.8913633823394775,1.0,2.0,5179.0,2.0
8.047927927927926e-06,3.483925978342692,0.1971528430779775,0.14385837316513062,0.053294469912846885,4.699997981389363,1.0,3.0,5179.0,3.0
1.205189189189189e-05,2.61344450712204,0.20953349769115448,0.14353704825043678,0.06599645130336285,3.603998601436615,1.0,4.0,5179.0,4.0
1.6055855855855853e-05,2.520479106903076,0.21064418852329253,0.14322287440299988,0.06742131561040879,3.404128980636597,1.0,5.0,5179.0,5.0
2.0059819819819814e-05,2.1008991400400796,0.21213564276695251,0.14289539555708566,0.06924024845163028,2.889273921648661,1.0,6.0,5179.0,6.0
2.4063783783783776e-05,1.801199299948556,0.21875542402267456,0.14258109884602682,0.07617432411227908,2.520091942378453,1.0,7.0,5179.0,7.0
2.806774774774774e-05,1.629174381494522,0.22551723569631577,0.14229744113981724,0.0832197917625308,2.2943302392959595,1.0,8.0,5179.0,8.0
3.2071711711711706e-05,1.8259731398688421,0.22411858704355028,0.14204182724157968,0.08207675814628601,2.466206497616238,1.0,9.0,5179.0,9.0
3.607567567567567e-05,1.6436758995056153,0.2247810870409012,0.1418227955698967,0.0829582892358303,2.2480682849884035,1.0,10.0,5179.0,10.0
4.0079639639639635e-05,1.4944326660849832,0.21591442010619424,0.13527504828843204,0.08063936910846016,2.0586075999520044,1.0,11.0,2697.0,11.0
4.40836036036036e-05,1.876209557056427,0.23550397157669067,0.1356689172486464,0.0998350518445174,2.434869865576426,2.0,12.0,5179.0,12.0
4.808756756756756e-05,1.7322703508230357,0.2437694141497979,0.1359607749260389,0.10780863693127266,2.2704183138333836,2.0,13.0,5179.0,13.0
5.209153153153152e-05,1.6087510585784912,0.30653846902506693,0.14008190695728576,0.1664565641965185,2.129317011151995,2.0,14.0,5179.0,14.0
5.609549549549549e-05,1.5018342812856038,0.32159101764361064,0.14001787602901458,0.18157314558823903,2.0094958623250325,2.0,15.0,5179.0,15.0
6.0099459459459453e-05,1.742065206170082,0.3316232394427061,0.13986804895102978,0.19175519328564405,2.2498376667499542,2.0,16.0,5179.0,16.0
6.41034234234234e-05,1.6397672400755041,0.3461471743443433,0.13983498513698578,0.2063121927135131,2.1351694920483757,2.0,17.0,5179.0,17.0
6.810738738738738e-05,1.5487802028656006,0.36671043270164067,0.14002925819820827,0.2266811786426438,2.033041516939799,2.0,18.0,5179.0,18.0
7.211135135135135e-05,1.46742340138084,0.4238898769805306,0.14322948926373533,0.2806603900696102,1.9423735392721075,2.0,19.0,5179.0,19.0
7.61153153153153e-05,1.590072512626648,0.44974915534257887,0.14315399453043937,0.3065951637923717,2.068124222755432,2.0,20.0,5179.0,20.0
8.011927927927928e-05,1.5144500164758592,0.4865022287482307,0.14893645970594316,0.33756577046144576,1.9832860742296492,2.0,21.0,5179.0,21.0
8.412324324324324e-05,1.4457023685628718,0.4775158776478334,0.14525268226861954,0.3322631967338649,1.901045799255371,2.0,22.0,2697.0,22.0
8.81272072072072e-05,1.6575136288352634,0.48180191024490027,0.14474506611409393,0.33705684477868286,2.115820853606514,3.0,23.0,5179.0,23.0
9.213117117117117e-05,1.5885755717754364,0.4808652053276698,0.14425298323233923,0.3366122227162123,2.041078289349874,3.0,24.0,5179.0,24.0
9.613513513513512e-05,1.5251925659179688,0.5129512071609497,0.1527334427833557,0.36021776497364044,1.9727151775360108,3.0,25.0,5179.0,25.0
0.00010013909909909908,1.4666466896350567,0.5330241276667669,0.1527463123202324,0.38027781534653443,1.9089568761678843,3.0,26.0,5179.0,26.0
0.00010414306306306305,1.5950306080005787,0.586208564263803,0.16609483460585275,0.42011372965795024,2.0375324973353632,3.0,27.0,5179.0,27.0
0.00010814702702702703,1.5381366610527039,0.605463947568621,0.16770585253834724,0.4377580929015364,1.9761621356010437,3.0,28.0,5179.0,28.0
0.00011215099099099098,1.4851664345839928,0.6597967312253755,0.1692907825626176,0.49050595071809044,1.9184324494723617,3.0,29.0,5179.0,29.0
0.00011615495495495494,1.4357608795166015,0.7005545775095622,0.17630519717931747,0.524249383310477,1.864384659131368,3.0,30.0,5179.0,30.0
0.0001201589189189189,1.5292161126290598,0.7440001426204559,0.17845087714733615,0.5655492702799458,1.9605350263657109,3.0,31.0,5179.0,31.0
0.00012416288288288286,1.4814927279949188,0.7817742973566055,0.18295023823156953,0.5988240619190037,1.9079881757497787,3.0,32.0,5179.0,32.0
0.00012816684684684683,1.436659661206332,0.8205929163730505,0.20623473913380594,0.6143581799485467,1.8555945627617114,3.0,33.0,2697.0,33.0
0.0001321708108108108,1.5758083567899817,0.8545198405490202,0.22040686055141337,0.6341129826272235,2.000362816978903,4.0,34.0,5179.0,34.0
0.00013617477477477477,1.5308709621429444,0.8732046331678118,0.22483007780143194,0.6483745579208646,1.95260956627982,4.0,35.0,5179.0,35.0
0.00014017873873873875,1.4884578784306843,0.8913391861650679,0.229497070527739,0.6618421181208558,1.9069726599587336,4.0,36.0,5179.0,36.0
0.00014418270270270272,1.448310375213623,0.9142645533020431,0.23566492062968178,0.678599635088766,1.8643788067070213,4.0,37.0,5179.0,37.0
0.0001481866666666667,1.529012316151669,0.9807317351040087,0.28951745166590337,0.6912142857909203,1.9471089149776257,4.0,38.0,5179.0,38.0
